"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
7,7,28,63,6,6,20,9,4,24,33,131,5,4,2
21,32,67,49,11,11,25,49,33,38,70,44,19,7,32
20,21,71,0,34,35,71,0,37,37,94,0,10,18,21
0,6,12,273,8,8,17,10,12,36,40,144,0,8,10
34,34,88,0,45,49,93,0,39,45,80,54,11,23,15
20,21,40,111,29,32,50,151,19,26,38,240,6,17,13
7,15,22,130,43,45,109,0,54,55,132,2,3,27,42
21,39,48,170,6,10,20,178,18,30,40,115,13,5,10
2,4,13,70,1,9,13,1,2,7,20,0,2,1,1
19,27,38,252,4,7,10,44,9,10,27,123,2,1,3
19,25,49,67,11,27,42,113,18,22,42,37,14,6,15
8,8,18,0,20,21,38,25,8,22,26,16,4,11,7
19,19,41,1,8,12,28,19,16,16,40,7,9,4,11
21,44,62,237,29,52,73,265,21,48,62,247,15,23,7
25,25,52,2,24,27,59,23,30,30,55,18,17,14,14
37,38,83,8,37,37,76,0,33,33,74,0,21,24,23
24,29,112,0,22,34,119,38,16,41,78,63,5,5,9
29,39,86,4,24,43,92,57,41,42,101,10,13,17,25
13,13,27,0,18,18,43,3,39,39,86,1,9,14,26
23,30,47,238,2,2,7,14,16,28,45,276,20,0,15
29,31,68,2,11,12,39,0,13,16,50,0,29,11,13
8,13,26,55,31,40,83,92,24,31,56,133,5,19,16
23,23,44,0,36,50,82,55,18,20,62,40,6,20,7
21,22,59,0,3,8,27,30,8,11,29,7,18,3,7
41,45,88,32,15,17,39,31,28,32,59,89,29,11,16
5,7,15,29,5,5,17,29,9,10,20,8,0,4,5
29,29,106,0,51,64,120,9,47,49,122,1,21,42,32
18,28,40,121,16,16,33,4,22,36,48,134,13,8,19
